Location,Section,X,Y,Group,Static (ft),Specfic Capacity (gpm/ft),Average_Flow(gpm),Average_Press(psi),Average_Power_Usage(kW-Hr)
PMP_30,South,1.001310667,1.008187767,S5,21,41.3,1444.07,65.76,9.89
PMP_16,South,1.001202064,1.007973427,S4,29,36.21276596,1731.71,68.21,14.47
PMP_5,South,1.001456593,1.01110776,0,0,0.0,0.0,0.0,0.0
PMP_29,South,1.000981155,1.008441933,S3,45,23.96590909,1807.97,54.6,17.91
PMP_18,South,1.001180029,1.008694893,S3,64,58.79411765,2214.95,47.24,18.96
PMP_14,South,1.001228058,1.00913256,S4,48,24.95061728,1421.85,53.43,14.04
PMP_3,South,1.000726719,1.00804016,S1,12,25.62820513,960.63,73.88,6.56
PMP_26,South,1.000143081,1.00562376,0,24,33.20833333,0.0,0.0,0.0
PMP_1,North,1.001443928,1.012789807,N3,87,83.11764706,2341.22,68.13,23.79
PMP_27,North,1.001497702,1.011776493,N3,100,41.70212766,1889.57,55.27,22.41
PMP_24,North,1.001339049,1.013965933,N3,89,28.94285714,893.12,63.48,9.17
PMP_20,North,1.001271045,1.012894953,0,65,60.21212121,0.0,0.0,0.0
PMP_2,North,1.000928788,1.016517093,N1,87,40.17391304,1882.94,49.64,19.95
PMP_6,North,1.000985051,1.014057467,N3,75,49.89705882,1971.09,62.04,19.27
PMP_23,North,1.00069608,1.013646433,N2,36,54.16666667,1946.04,75.68,16.58
PMP_19,North,1.001282478,1.014737153,N3,79,40.05660377,1845.3,63.54,19.76
PMP_8,North,1.001078052,1.01544236,N1,95,45.10869565,2125.48,45.93,23.54
PMP_9,North,1.000918501,1.01050096,N2,46,20.83333333,936.64,42.95,5.74
PMP_7,South,1.000733012,1.009903227,S2,35,31.578125,2420.94,40.56,21.02
PMP_13,South,1.000724064,1.006882027,S1,19,19.57746479,1348.84,77.87,12.41
PMP_28,South,1.001289903,1.01120136,S5,66,33.05555556,1950.51,54.29,19.98
PMP_31,North,1.001377288,1.01444716,N3,92,27.76388889,1885.88,60.38,23.37
PMP_21,North,1.000734719,1.020858893,N1,146,13.7962963,1748.09,55.95,32.82
PMP_15,South,1.000895983,1.010101027,S3,62,32.76086957,1514.96,53.56,14.0
PMP_10,North,1.001046136,1.01697476,N1,108,36.95454545,2147.33,62.74,27.72
PMP_12,South,1.001523834,1.010994693,S5,106,54.09090909,1964.05,34.76,20.19
PMP_11,North,1.001405001,1.012240293,N3,82,49.02439024,1766.0,57.81,18.43
PMP_4,South,1.00071334,1.009313093,S2,30,7.608108108,3026.06,61.73,83.3
PMP_32,North,1.000649276,1.01556456,N2,81,42.52380952,2642.31,55.95,29.45
PMP_22,North,1.000854753,1.017970747,N1,111,32.47058824,2237.49,55.82,29.95
PMP_25,South,1.001009955,1.010569153,S3,44,48.11904762,2140.32,52.09,17.32
